Application_ID,Full Name,Age,Location,Date,Loan Type,Marital Status,Collateral Type,Collateral Value,Employee_Status,Income,Loan Term,Loan Amount,Monthly Payment,Debt,Dti,LVR,Guarantor,Customer Status,Customer Relation,Interest Rate,Loan Reason,Credit History,Loan Status,Loan Binary Status,Guarantor Binary
KH00002,THY Cheableng,34,Phnom Penh,2024-05-28,SME Loan,Single,House,136000,Full-time,1240,60,44000,890.0570668904102,50,4.03,32.35,No,Existing Customer,Loan,6.6,Refinance,3,Approved,1,0
KH00003,MEAS Vuthy,59,Phnom Penh,2025-08-07,SME Loan,Married,House,198000,Full-time,1020,96,41500,631.9258559145495,0,0.0,20.96,Yes,New Customer,,8.5,Buy land,5,Approved,1,1
KH00009,CHAN Leng,59,Phnom Penh,2025-03-05,SME Loan,Married,House,282000,Self-employed,700,36,9500,297.69547188359576,0,0.0,3.37,Yes,Existing Customer,Deposit,6.6,Refinance,3,Rejected,0,1
KH00011,RITH Nita,27,Battambang,2025-04-21,SME Loan,Single,House,101500,Self-employed,350,72,8000,146.19752650628874,200,57.14,7.88,No,Existing Customer,Loan,7.9,Expanding Business,5,Rejected,0,0
KH00012,LIN Pheakdey,36,Kampong Cham,2024-05-02,SME Loan,Divorce,Land,103000,Self-employed,250,72,8000,144.60166443333847,100,40.0,7.77,Yes,Existing Customer,Card,7.8,Loan Consolidation,1,Rejected,0,1
KH00014,VANNA Sreynich,60,Siem Reap,2024-04-07,SME Loan,Single,House,111000,Part-time,260,60,5000,105.49866835475292,250,96.15,4.5,No,New Customer,,8.1,Expand Farm,5,Rejected,0,0
KH00017,TAI Danuch,23,Siem Reap,2024-11-27,SME Loan,Single,Car,24000,Full-time,490,60,14000,289.93798007129436,0,0.0,58.33,Yes,New Customer,,7.5,Loan Consolidation,4,Approved,1,1
KH00032,BUT Ratana,38,Kampong Cham,2025-05-29,SME Loan,Married,Land,108000,Full-time,460,36,12000,377.69934920591095,250,54.35,11.11,Yes,Existing Customer,Loan,7.0,Expanding Business,4,Approved,1,1
KH00034,RY Sreynich,43,Phnom Penh,2024-10-28,SME Loan,Single,House,100000,Full-time,620,60,23000,478.5592064898559,0,0.0,23.0,Yes,New Customer,,7.3,Refinance,5,Approved,1,1
KH00035,MAO Rakmey,65,Battambang,2024-06-18,SME Loan,Single,House,87500,Full-time,170,36,4500,142.0539184060083,100,58.82,5.14,No,Existing Customer,Loan,8.2,Buy land,4,Approved,1,0
